date,month,year,quarter,category,description,amount,type,payment_method,notes
2024-12-13,2024-12,2024,Q4,Shopping,Online Shopping,480.18,Expense,Debit Card,
2023-09-24,2023-09,2023,Q3,Other,ATM Withdrawal,281.98,Expense,Digital Wallet,
2024-08-24,2024-08,2024,Q3,Utilities,Electricity Bill,216.44,Expense,Digital Wallet,
2023-09-18,2023-09,2023,Q3,Housing,Property Tax,826.68,Expense,Credit Card,
2024-06-13,2024-06,2024,Q2,Transport,Car Insurance,339.13,Expense,Credit Card,
2024-02-07,2024-02,2024,Q1,Housing,Mortgage Payment,2458.84,Expense,Bank Transfer,
2024-12-27,2024-12,2024,Q4,Food,Restaurant,53.57,Expense,Cash,
2024-12-17,2024-12,2024,Q4,Transport,Public Transit,185.89,Expense,,
2024-07-28,2024-07,2024,Q3,Housing,Mortgage Payment,965.32,Expense,Digital Wallet,
2024-07-14,2024-07,2024,Q3,Housing,Home Insurance,1341.74,Expense,Bank Transfer,
2023-07-26,2023-07,2023,Q3,Education,Online Course,173.29,Expense,Bank Transfer,
2024-11-06,2024-11,2024,Q4,Shopping,Amazon,301.47,Expense,Digital Wallet,
2024-09-09,2024-09,2024,Q3,Housing,Home Insurance,564.86,Expense,Cash,
2023-05-31,2023-05,2023,Q2,Income,Monthly Salary,5368.361991915357,Income,Bank Transfer,
2023-01-17,2023-01,2023,Q1,Entertainment,Spotify,39.97,Expense,Digital Wallet,
2024-04-10,2024-04,2024,Q2,Other,Bank Fee,136.28,Expense,Bank Transfer,
2023-05-26,2023-05,2023,Q2,Food,Supermarket,148.35,Expense,Bank Transfer,
2024-03-27,2024-03,2024,Q1,Travel,Flight Ticket,1974.39,Expense,Digital Wallet,
2023-10-11,2023-10,2023,Q4,Transport,Car Insurance,468.73,Expense,Cash,
2023-06-12,2023-06,2023,Q2,Shopping,Home Goods,150.76,Expense,Bank Transfer,
2023-08-20,2023-08,2023,Q3,Utilities,Phone Bill,156.45,Expense,Digital Wallet,
2023-11-30,2023-11,2023,Q4,Education,Workshop,158.61,Expense,Credit Card,
2023-10-26,2023-10,2023,Q4,Food,Grocery Store,12.59,Expense,Bank Transfer,
2023-06-24,2023-06,2023,Q2,Healthcare,Pharmacy,530.53,Expense,Cash,
2023-08-13,2023-08,2023,Q3,Transport,Gas Station,396.7,Expense,Debit Card,
2023-05-13,2023-05,2023,Q2,Housing,Maintenance,754.25,Expense,Digital Wallet,
2024-05-17,2024-05,2024,Q2,Other,ATM Withdrawal,146.36,Expense,Credit Card,
2024-03-26,2024-03,2024,Q1,Shopping,Electronics,15.0,Expense,Debit Card,
2023-12-10,2023-12,2023,Q4,Food,Coffee Shop,182.82,Expense,Bank Transfer,
2023-08-24,2023-08,2023,Q3,Utilities,Gas Bill,254.87,Expense,Cash,
2024-07-13,2024-07,2024,Q3,Education,Books,89.53,Expense,Bank Transfer,
2024-12-07,2024-12,2024,Q4,Entertainment,Gym Membership,159.62,Expense,Credit Card,
